panel zone shear distortion (rad),panel zone shear force (kN)
-0.000172275,-282.2267508
-0.000187075,-300.4880712
-0.000202699,-318.8691534
-0.000225929,-336.7721314
-0.000242404,-355.3917944
-0.00025844,-373.4145342
-0.000278265,-391.6758546
-0.000293505,-408.7442719
-0.000306575,-426.8858305
-0.000330656,-444.7897515
-0.000343342,-462.8124914
-0.000367396,-480.1194892
-0.000391477,-498.4996285
-0.000406239,-516.8807108
-0.000423576,-534.7846315
-0.000436227,-553.1657138
-0.000459036,-571.4270344
-0.000474654,-589.8081167
-0.000499142,-607.7110948
-0.000514793,-625.972415
-0.000529566,-644.3534973
-0.000543487,-662.7345796
-0.000568859,-680.6375577
-0.000588684,-697.9445555
-0.000608125,-716.4444565
-0.000627126,-734.5869584
-0.000643574,-752.6096982
-0.000657523,-770.632438
-0.000675261,-788.5363587
-0.000694674,-806.7976793
-0.000706921,-823.1494117
-0.000728888,-840.9335707
-0.000741464,-857.5238835
-0.000766012,-875.9049658
-0.000781361,-893.8079439
-0.000800198,-911.3535226
-0.000820078,-929.2574437
-0.000834878,-947.2782974
-0.000853522,-965.421742
-0.000869805,-983.3294347
-0.000886115,-1000.756195
-0.000901163,-1017.937773
-0.000920521,-1036.081217
-0.000922333,-1017.937773
-0.000922196,-999.6811672
-0.000922196,-981.6508832
-0.000923157,-964.2241237
-0.000921894,-946.090109
-0.000921482,-927.705255
-0.000921345,-909.9210956
-0.000920109,-891.5400133
-0.000910087,-873.3984548
-0.000899021,-854.8976108
-0.000886719,-836.6362902
-0.000867938,-818.6135504
-0.000850859,-800.4719919
-0.000835372,-782.4483091
-0.000821423,-764.545331
-0.000798248,-746.5225912
-0.000780729,-728.1415089
-0.000759339,-709.9990074
-0.00073902,-691.3802873
-0.000714554,-673.1180241
-0.000701017,-655.5733885
-0.000682016,-637.4308866
-0.000665101,-620.6019934
-0.000649093,-602.6980723
-0.000635117,-588.0173472
-0.000614852,-569.756027
-0.00059629,-551.8521059
-0.000572209,-533.5907853
-0.00054983,-515.0908843
-0.000536321,-496.8286211
-0.000519406,-477.9703772
-0.000503782,-459.5902379
-0.000480146,-440.9705752
