Total story drift angle (rad),Force in the actuator (kN)
0.00119084,-614.6633484
-0.001832061,-623.9064062
-0.004030534,-637.770993
-0.007053435,-642.392522
-0.00989313,-651.6355798
-0.011633588,-651.6355798
-0.014564885,-670.1216956
-0.016946565,-688.6078113
-0.020061069,-730.2015717
-0.022167939,-744.0661585
-0.024732824,-776.4168611
-0.027389313,-808.7675636
-0.029129771,-836.4967372
-0.031328244,-859.6043819
-0.033526718,-887.3335555
-0.034992366,-905.8196713
-0.037832061,-928.9273159
-0.039572519,-956.6564896
-0.041129771,-970.5210764
-0.042961832,-979.7641342
-0.04470229,-998.25025
-0.046167939,-1007.493308
-0.049007634,-1035.222481
-0.050198473,-1039.84401
-0.051664122,-1067.573184
-0.052396947,-1076.816242
-0.05340458,-1072.194713
-0.053587786,-1039.84401
-0.052763359,-947.4134317
-0.050564885,-785.659919
-0.048183206,-610.0418194
-0.045801527,-462.1528935
-0.043419847,-318.8854965
-0.041496183,-207.9688021
-0.040030534,-134.0243391
-0.038381679,-64.70140509
-0.036641221,-9.24305787
