Total story drift angle (rad),Force in the actuator (kN)
0.004451718,581.0841381
0.008903437,608.1113073
0.01400982,639.6430048
0.016497545,657.6611176
0.020425532,675.6792304
0.02304419,689.192815
0.026186579,707.2109278
0.030114566,716.2199842
0.033256956,743.2471534
0.036923077,765.7697944
0.039148936,779.283379
0.041374795,792.7969636
0.043731588,815.3196047
0.047135843,851.3558303
0.049754501,900.9056405
0.051456628,977.4826199
0.05289689,1045.050543
0.054206219,1126.132051
0.055515548,1184.690917
0.057741408,1274.781481
0.059181669,1324.331292
0.060229133,1364.872045
0.061145663,1396.403743
0.06193126,1400.908271
0.062062193,1378.38563
0.062062193,1333.340348
0.06101473,1225.231671
0.059312602,1009.014317
0.057086743,801.8060201
0.055646481,644.147533
0.053944354,490.9935741
0.052242226,360.3622562
0.049885434,207.2082973
0.047790507,99.09962046
0.045826514,0
0.04386252,-81.08150765
0.041767594,-157.6584871
0.039803601,-202.7037691
0.037446809,-265.7671639
0.034304419,-328.8305588
0.031031097,-387.3894254
0.02801964,-427.9301792
0.025139116,-463.9664049
0.022651391,-490.9935741
0.020163666,-504.5071587
0.017806874,-522.5252715
0.014795417,-536.0388561
0.011783961,-545.0479125
0.008510638,-563.0660253
0.004713584,-576.5796099
6.55E-04,-576.5796099
-0.00314239,-572.0750817
-0.006153846,-572.0750817
-0.008772504,-572.0750817
-0.012176759,-576.5796099
-0.016497545,-558.5614971
-0.019247136,-549.5524407
-0.021603928,-549.5524407
-0.025139116,-549.5524407
-0.02893617,-536.0388561
-0.034173486,-527.0297997
-0.036923077,-531.5343279
-0.038363339,-513.5162151
-0.040720131,-509.0116869
-0.043731588,-509.0116869
-0.045564648,-500.0026305
-0.048183306,-490.9935741
-0.050409165,-490.9935741
-0.055515548,-481.9845177
-0.057348609,-481.9845177
-0.059443535,-481.9845177
-0.062062193,-472.9754613
-0.062978723,-472.9754613
-0.063371522,-445.9482921
-0.06193126,-382.8848972
-0.058265139,-292.7943332
-0.054468085,-198.1992409
-0.049885434,-99.09962046
-0.044517185,27.02716922
-0.040851064,94.59509225
-0.037577741,157.6584871
