Total story drift angle (rad),Force in the actuator (kN)
0.013369314,879.1159849
0.01614495,910.7009903
0.019013107,926.493493
0.022066307,942.2859957
0.025212028,973.8710012
0.027247494,973.8710012
0.030485736,984.3993363
0.032798766,979.1351688
0.034834233,989.6635039
0.037239784,984.3993363
0.039922899,1010.720174
0.041588281,1021.248509
0.04232845,1000.191839
0.04232845,900.1726551
0.042050887,747.5117955
0.041403238,652.7567792
0.04001542,526.4167574
0.038535081,405.3409032
0.037054742,284.265049
0.035574402,184.2458651
0.034001542,94.75501633
0.031595991,-42.11334059
